,answers,question_id,respondent_id,col,row,heading,type.family,type.subtype,text_y,position_y,question_heading
0,[{u'row': u'8046374154'}],701541529,3477006312,,8046374154,I am between: ,single_choice,horiz,34-41 years old,3.0,701541529_I am between: 
1,[{u'row': u'8046374154'}],701541529,3475188757,,8046374154,I am between: ,single_choice,horiz,34-41 years old,3.0,701541529_I am between: 
2,[{u'row': u'8046374154'}],701541529,3474149564,,8046374154,I am between: ,single_choice,horiz,34-41 years old,3.0,701541529_I am between: 
3,[{u'row': u'8046374154'}],701541529,3473085361,,8046374154,I am between: ,single_choice,horiz,34-41 years old,3.0,701541529_I am between: 
4,[{u'row': u'8046374154'}],701541529,3471232645,,8046374154,I am between: ,single_choice,horiz,34-41 years old,3.0,701541529_I am between: 
5,[{u'row': u'8046374154'}],701541529,3471180758,,8046374154,I am between: ,single_choice,horiz,34-41 years old,3.0,701541529_I am between: 
6,[{u'row': u'8046374154'}],701541529,3471140384,,8046374154,I am between: ,single_choice,horiz,34-41 years old,3.0,701541529_I am between: 
7,[{u'row': u'8046374154'}],701541529,3470891561,,8046374154,I am between: ,single_choice,horiz,34-41 years old,3.0,701541529_I am between: 
8,[{u'row': u'8046374154'}],701541529,3470832454,,8046374154,I am between: ,single_choice,horiz,34-41 years old,3.0,701541529_I am between: 
9,[{u'row': u'8046374154'}],701541529,3470722409,,8046374154,I am between: ,single_choice,horiz,34-41 years old,3.0,701541529_I am between: 
10,[{u'row': u'8046374154'}],701541529,3470284672,,8046374154,I am between: ,single_choice,horiz,34-41 years old,3.0,701541529_I am between: 
11,[{u'row': u'8046374154'}],701541529,3470258609,,8046374154,I am between: ,single_choice,horiz,34-41 years old,3.0,701541529_I am between: 
12,[{u'row': u'8046374154'}],701541529,3470232721,,8046374154,I am between: ,single_choice,horiz,34-41 years old,3.0,701541529_I am between: 
13,[{u'row': u'8046374154'}],701541529,3470226906,,8046374154,I am between: ,single_choice,horiz,34-41 years old,3.0,701541529_I am between: 
14,[{u'row': u'8046374154'}],701541529,3470226804,,8046374154,I am between: ,single_choice,horiz,34-41 years old,3.0,701541529_I am between: 
15,[{u'row': u'8046374150'}],701541529,3476990271,,8046374150,I am between: ,single_choice,horiz,18-25 years old,1.0,701541529_I am between: 
16,[{u'row': u'8046374150'}],701541529,3476608302,,8046374150,I am between: ,single_choice,horiz,18-25 years old,1.0,701541529_I am between: 
17,[{u'row': u'8046374150'}],701541529,3476136366,,8046374150,I am between: ,single_choice,horiz,18-25 years old,1.0,701541529_I am between: 
18,[{u'row': u'8046374150'}],701541529,3473984055,,8046374150,I am between: ,single_choice,horiz,18-25 years old,1.0,701541529_I am between: 
19,[{u'row': u'8046374150'}],701541529,3470906332,,8046374150,I am between: ,single_choice,horiz,18-25 years old,1.0,701541529_I am between: 
20,[{u'row': u'8046374150'}],701541529,3470253432,,8046374150,I am between: ,single_choice,horiz,18-25 years old,1.0,701541529_I am between: 
21,[{u'row': u'8046374157'}],701541529,3476473331,,8046374157,I am between: ,single_choice,horiz,42 and above,4.0,701541529_I am between: 
