,answers,question_id,respondent_id,col,row
0,[{u'row': u'8046374154'}],701541529,3477006312,,8046374154
1,[{u'row': u'8046074292'}],701542059,3477006312,,8046074292
2,[{u'row': u'8046076814'}],701542308,3477006312,,8046076814
3,[{u'row': u'8046079807'}],701542637,3477006312,,8046079807
4,[{u'row': u'8046374150'}],701541529,3476990271,,8046374150
5,[{u'row': u'8046074292'}],701542059,3476990271,,8046074292
6,[{u'row': u'8046076814'}],701542308,3476990271,,8046076814
7,[{u'row': u'8046079807'}],701542637,3476990271,,8046079807
8,[{u'row': u'8046374150'}],701541529,3476608302,,8046374150
9,[{u'row': u'8046074292'}],701542059,3476608302,,8046074292
10,[{u'row': u'8046076814'}],701542308,3476608302,,8046076814
11,[{u'row': u'8046079807'}],701542637,3476608302,,8046079807
12,"[{u'col': u'8048406415', u'row': u'8048406417'}]",701543957,3476608302,8048406415,8048406417
13,"[{u'col': u'8048406788', u'row': u'8048406792'}]",701544253,3476608302,8048406788,8048406792
14,"[{u'col': u'8048407196', u'row': u'8048407198'}]",701544459,3476608302,8048407196,8048407198
15,"[{u'col': u'8048407399', u'row': u'8048407401'}]",701545007,3476608302,8048407399,8048407401
16,"[{u'col': u'8048407847', u'row': u'8048407851'}]",701545279,3476608302,8048407847,8048407851
17,"[{u'col': u'8048407993', u'row': u'8048407995'}]",701545540,3476608302,8048407993,8048407995
18,"[{u'col': u'8048408317', u'row': u'8048408320'}]",701545910,3476608302,8048408317,8048408320
19,"[{u'col': u'8048408629', u'row': u'8048408633'}]",701546058,3476608302,8048408629,8048408633
20,"[{u'col': u'8048408887', u'row': u'8048408891'}]",701546272,3476608302,8048408887,8048408891
21,"[{u'col': u'8048409177', u'row': u'8048409181'}]",701546480,3476608302,8048409177,8048409181
22,"[{u'col': u'8048409657', u'row': u'8048409661'}]",701546663,3476608302,8048409657,8048409661
23,"[{u'col': u'8048409808', u'row': u'8048409810'}]",701546895,3476608302,8048409808,8048409810
24,"[{u'col': u'8048410162', u'row': u'8048410166'}]",701547461,3476608302,8048410162,8048410166
25,"[{u'col': u'8048410389', u'row': u'8048410393'}]",701547599,3476608302,8048410389,8048410393
26,"[{u'col': u'8048410656', u'row': u'8048410659'}]",701547864,3476608302,8048410656,8048410659
27,"[{u'col': u'8048410867', u'row': u'8048410869'}]",701548022,3476608302,8048410867,8048410869
28,"[{u'col': u'8048411169', u'row': u'8048411171'}]",701548283,3476608302,8048411169,8048411171
29,"[{u'col': u'8048411661', u'row': u'8048411663'}]",701548637,3476608302,8048411661,8048411663
30,"[{u'col': u'8048411978', u'row': u'8048411982'}]",701548849,3476608302,8048411978,8048411982
31,"[{u'col': u'8048412080', u'row': u'8048412082'}]",701549063,3476608302,8048412080,8048412082
32,"[{u'col': u'8048412205', u'row': u'8048412209'}]",701549500,3476608302,8048412205,8048412209
33,"[{u'col': u'8048412429', u'row': u'8048412431'}]",701549775,3476608302,8048412429,8048412431
