Year,Quarter,Date,Lifeline Calls Answered (Total),  Lifeline Calls Answered (Non-Veteran),  Lifeline Calls Answered (Veteran),Lifeline Crisis Chats Accepted (Total) ,LCC SightMax,LCC iCarol,"Veterans Chats Accepted (Veterans, Non-Veterans, and Homeless Queues)",White House Letters Received,Disaster Distress Hotline Calls Answered,Disaster Distress Texts Answered
2013,1,13-Jan,84779,60211,24568,971,971,,4207,303,366,79
2013,1,13-Feb,78281,55598,22683,1956,1956,,3612,314,347,203
2013,1,13-Mar,88643,62808,25835,3005,2979,26,3488,193,386,56
2013,2,13-Apr,87606,61647,25959,3815,3498,317,3970,244,782,1109
2013,2,13-May,92572,64384,28188,4359,3585,774,5493,181,754,1462
2013,2,13-Jun,94545,65499,29046,5114,3446,1668,6114,235,867,836
2013,3,13-Jul,101495,68231,33264,5477,3727,1750,6850,190,334,1087
2013,3,13-Aug,100597,66640,33957,5209,3590,1619,6773,251,245,788
2013,3,13-Sep,98238,66450,31788,4710,3383,1327,7157,159,342,1407
2013,4,13-Oct,102355,66873,35482,5234,3541,1693,7016,155,239,658
2013,4,13-Nov,96327,63167,33160,5059,3653,1406,4902,198,188,679
2013,4,13-Dec,104754,69246,35508,4755,3205,1550,4799,228,206,389
2014,1,14-Jan,110008,72249,37759,4989,3352,1637,5297,216,203,471
2014,1,14-Feb,94606,62694,31912,4427,3046,1381,5083,203,235,250
2014,1,14-Mar,109306,70470,38836,4701,3196,1505,4964,167,175,93
2014,2,14-Apr,105986,68205,37781,4667,3231,1436,4978,218,304,198
2014,2,14-May,111823,71760,40063,5265,3324,1941,5010,230,388,154
2014,2,14-Jun,111684,70884,40800,4821,2857,1964,5444,182,225,235
2014,3,14-Jul,110455,70955,39500,4817,3239,1578,6281,230,557,429
2014,3,14-Aug,133722,91320,42402,5572,3622,1950,5610,264,355,241
2014,3,14-Sep,117759,80023,37736,5150,3060,2090,5346,257,341,282
2014,4,14-Oct,118421,78837,39584,5478,3414,2064,5116,230,398,700
2014,4,14-Nov,113414,75041,38373,5424,3436,1988,5086,235,262,1514
2014,4,14-Dec,120381,80628,39753,5147,3152,1995,5101,229,280,895
